,Best,Dataset,Model,Parameter,Sig Datasets
0,False,Dong,Target Dependent Plus,Mpqa,2
1,True,Dong,Target Dependent Plus,HuLiu,0
2,False,Dong,Target Dependent Plus,NRC,0
3,False,Dong,Target Dependent Plus,Mpqa HuLiu,0
4,False,Dong,Target Dependent Plus,Mpqa NRC,0
5,False,Dong,Target Dependent Plus,HuLiu NRC,0
6,False,Dong,Target Dependent Plus,Mpqa HuLiu NRC,0
7,False,Dong,TDParsePlus,Mpqa,1
8,False,Dong,TDParsePlus,HuLiu,0
9,False,Dong,TDParsePlus,NRC,0
10,False,Dong,TDParsePlus,Mpqa HuLiu,0
11,False,Dong,TDParsePlus,Mpqa NRC,0
12,True,Dong,TDParsePlus,HuLiu NRC,0
13,False,Dong,TDParsePlus,Mpqa HuLiu NRC,0
14,False,Laptop,Target Dependent Plus,Mpqa,0
15,False,Laptop,Target Dependent Plus,HuLiu,0
16,False,Laptop,Target Dependent Plus,NRC,0
17,True,Laptop,Target Dependent Plus,Mpqa HuLiu,0
18,False,Laptop,Target Dependent Plus,Mpqa NRC,0
19,False,Laptop,Target Dependent Plus,HuLiu NRC,0
20,False,Laptop,Target Dependent Plus,Mpqa HuLiu NRC,0
21,False,Laptop,TDParsePlus,Mpqa,0
22,False,Laptop,TDParsePlus,HuLiu,0
23,False,Laptop,TDParsePlus,NRC,0
24,True,Laptop,TDParsePlus,Mpqa HuLiu,0
25,False,Laptop,TDParsePlus,Mpqa NRC,0
26,False,Laptop,TDParsePlus,HuLiu NRC,0
27,False,Laptop,TDParsePlus,Mpqa HuLiu NRC,0
28,False,Restaurant,Target Dependent Plus,Mpqa,0
29,False,Restaurant,Target Dependent Plus,HuLiu,0
30,False,Restaurant,Target Dependent Plus,NRC,1
31,False,Restaurant,Target Dependent Plus,Mpqa HuLiu,0
32,False,Restaurant,Target Dependent Plus,Mpqa NRC,1
33,True,Restaurant,Target Dependent Plus,HuLiu NRC,0
34,False,Restaurant,Target Dependent Plus,Mpqa HuLiu NRC,0
35,False,Restaurant,TDParsePlus,Mpqa,0
36,False,Restaurant,TDParsePlus,HuLiu,0
37,False,Restaurant,TDParsePlus,NRC,1
38,False,Restaurant,TDParsePlus,Mpqa HuLiu,0
39,False,Restaurant,TDParsePlus,Mpqa NRC,0
40,True,Restaurant,TDParsePlus,HuLiu NRC,0
41,False,Restaurant,TDParsePlus,Mpqa HuLiu NRC,0
42,False,Election,Target Dependent Plus,Mpqa,0
43,False,Election,Target Dependent Plus,HuLiu,0
44,False,Election,Target Dependent Plus,NRC,0
45,False,Election,Target Dependent Plus,Mpqa HuLiu,0
46,False,Election,Target Dependent Plus,Mpqa NRC,0
47,True,Election,Target Dependent Plus,HuLiu NRC,0
48,False,Election,Target Dependent Plus,Mpqa HuLiu NRC,0
49,True,Election,TDParsePlus,Mpqa,0
50,False,Election,TDParsePlus,HuLiu,0
51,False,Election,TDParsePlus,NRC,0
52,False,Election,TDParsePlus,Mpqa HuLiu,0
53,False,Election,TDParsePlus,Mpqa NRC,0
54,False,Election,TDParsePlus,HuLiu NRC,0
55,False,Election,TDParsePlus,Mpqa HuLiu NRC,0
56,False,Mitchell,Target Dependent Plus,Mpqa,0
57,True,Mitchell,Target Dependent Plus,HuLiu,0
58,False,Mitchell,Target Dependent Plus,NRC,0
59,False,Mitchell,Target Dependent Plus,Mpqa HuLiu,0
60,False,Mitchell,Target Dependent Plus,Mpqa NRC,0
61,False,Mitchell,Target Dependent Plus,HuLiu NRC,0
62,False,Mitchell,Target Dependent Plus,Mpqa HuLiu NRC,0
63,False,Mitchell,TDParsePlus,Mpqa,0
64,False,Mitchell,TDParsePlus,HuLiu,0
65,False,Mitchell,TDParsePlus,NRC,0
66,False,Mitchell,TDParsePlus,Mpqa HuLiu,0
67,False,Mitchell,TDParsePlus,Mpqa NRC,0
68,True,Mitchell,TDParsePlus,HuLiu NRC,0
69,False,Mitchell,TDParsePlus,Mpqa HuLiu NRC,0
70,False,YouTuBean,Target Dependent Plus,Mpqa,0
71,True,YouTuBean,Target Dependent Plus,HuLiu,0
72,False,YouTuBean,Target Dependent Plus,NRC,0
73,False,YouTuBean,Target Dependent Plus,Mpqa HuLiu,0
74,False,YouTuBean,Target Dependent Plus,Mpqa NRC,0
75,False,YouTuBean,Target Dependent Plus,HuLiu NRC,0
76,False,YouTuBean,Target Dependent Plus,Mpqa HuLiu NRC,0
77,False,YouTuBean,TDParsePlus,Mpqa,1
78,True,YouTuBean,TDParsePlus,HuLiu,0
79,False,YouTuBean,TDParsePlus,NRC,0
80,False,YouTuBean,TDParsePlus,Mpqa HuLiu,0
81,False,YouTuBean,TDParsePlus,Mpqa NRC,0
82,False,YouTuBean,TDParsePlus,HuLiu NRC,0
83,False,YouTuBean,TDParsePlus,Mpqa HuLiu NRC,0
